block_id,work_id,block_type,block_text,pdf_page,pdf_bbox,block_seq,parent_title_block_id,title_level
2016408810175991961,W1006361424,title,Financial incentives for kidney donation: A comparative case study using synthetic controls,0,"[70, 205, 793, 248]",0,,0.0
2016408810175991962,W1006361424,text,"Fırat Bilgel a,∗, Brian Galle b ",0,"[70, 258, 295, 276]",1,2.016408810175992e+18,
2016408810175991963,W1006361424,text,"a Faculty of Economics and Administrative Sciences, Okan University, Tuzla Campus, Akfirat 34959, Istanbul, Turkey b Boston College Law School, 885 Centre Street, Newton, MA 02459, United States ",0,"[68, 283, 631, 303]",2,2.016408810175992e+18,
2016408810175991964,W1006361424,text,a r t i c l e i n f o,0,"[70, 332, 230, 346]",3,2.016408810175992e+18,
2016408810175991965,W1006361424,title,Abstract,0,"[352, 334, 463, 346]",4,,1.0
2016408810175991966,W1006361424,text,"Article history:   
Received 19 September 2014   
Received in revised form 19 June 2015   
Accepted 28 June 2015   
Available online 6 July 2015 ",0,"[68, 360, 267, 413]",5,2.016408810175992e+18,
2016408810175991967,W1006361424,text,"JEL classification:   
I18   
K32   
C15   
Keywords:   
Living kidney donation   
Altruism   
Tax deduction   
Difference-in-differences   
Synthetic control ",0,"[70, 428, 154, 470]",6,2.016408810175992e+18,
2016408810175991968,W1006361424,text,,0,"[70, 480, 200, 544]",7,2.016408810175992e+18,
2016408810175991969,W1006361424,text,"Although many commentators called for increased efforts to incentivize organ donations, theorists and some evidence suggest these efforts will be ineffective. Studies examining the impact of tax incentives generally report zero/negative coefficients, but these studies incorrectly define their tax variables and rely on difference-in-differences despite likely failures of the parallel trends assumption. We identify the causal effect of tax legislation to serve as an organ donor on living kidney donation rates in the U.S. states using more precise tax data and allowing for heterogeneous time-variant causal effects. Employing a synthetic control method, we find that the passage of tax incentive legislation increased living unrelated kidney donation rates by 52 percent in New York relative to a comparable synthetic New York in the absence of legislation. It is possible that New York is unique, but our methodology does not allow us to measure accurately effects in other states. ",0,"[351, 360, 947, 480]",8,2.016408810175992e+18,
2016408810175991970,W1006361424,text,$^ { © }$ 2015 Elsevier B.V. All rights reserved. ,0,"[719, 480, 946, 493]",9,2.016408810175992e+18,
2016408810175991971,W1006361424,title,1. Introduction,0,"[70, 590, 176, 602]",10,,1.0
2016408810175991972,W1006361424,text,"Can altruism be bought? Prior literature, dating back to Olson (1971), emphasizes the importance of “selective incentives” or private goods in encouraging individual contributions to group goals. On the other hand, Titmuss (1970) famously argued that paying for blood donations would undermine social norms of generosity and reduce giving. Existing evidence is mixed. Some studies, many in the laboratory, suggest that explicit monetary incentives may have minimal or even perverse effects.1 But a series of results from field experiments document strong positive effects of incentives (Goette and Stutzer, 2008; Lacetera et al., 2014a). ",0,"[70, 616, 494, 749]",11,2.016408810175992e+18,
2016408810175991973,W1006361424,text,"Organ donations are a policy area where these theoretical questions are especially pressing. Earlier qualitative research generally confirms that non-monetary selective incentives, such as the development of emotional and associative bonds between donors and donees, can contribute importantly to expanding the donor base.2 ",0,"[70, 750, 494, 814]",12,2.016408810175992e+18,
2016408810175991974,W1006361424,text,"Perhaps inspired by these efforts, a number of U.S. states have enacted tax incentives for living organ donors. ",0,"[522, 590, 946, 616]",13,2.016408810175992e+18,
2016408810175991975,W1006361424,text,"In four previous studies, however, researchers employing difference-in-differences (DiD) methods did not find any evidence that these incentives affected kidney donations, which comprise the large majority of demand for and supply of donations. Wellington and Sayre (2011) report that state legislation is not associated with overall living donations. Venkataramani et al. (2012) find no statistically significant contemporaneous or lagged effects of tax policy on donation rates, or differential effects by gender, race or donor relationship. They hypothesize that the statistically indistinguishable effects may stem from low cash value of the tax deduction to defray costs faced by donors, lack of public awareness and a depletion of organ donor pools in the prelegislation period. ",0,"[524, 617, 947, 788]",14,2.016408810175992e+18,
2016408810175991976,W1006361424,text,"Accounting for state fixed-effects and state-specific linear trends, Lacetera et al. (2014b) find significant effects for bone marrow but not other organs. Boulware et al. (2008) find that state legislation and federal policies are not associated with living related or overall donations. They do find a positive effect on living unrelated kidney donations when pooling together all state legislation, but do not separately analyze monetary incentives. ",0,"[522, 789, 947, 894]",15,2.016408810175992e+18,
2016408810175991977,W1006361424,discarded,Contents lists available at ScienceDirect HOURLLE ECOOMOICS Journal of Health Economics w j ou rnal homepage: www.elsevier.com/locate/econbase ,0,"[68, 68, 954, 171]",16,2.016408810175992e+18,
2016408810175991978,W1006361424,discarded,∗ Corresponding author. Tel.: +90 5323640004 E-mail address: firat.bilgel@okan.edu.tr (F. Bilgel). 1 Gneezy et al. (2011) offer a review. 2 See Healy (2010) for a review. ,0,"[77, 851, 342, 894]",17,2.016408810175992e+18,
2016408810175991979,W1006361424,discarded,http://dx.doi.org/10.1016/j.jhealeco.2015.06.007 0167-6296/© 2015 Elsevier B.V. All rights reserved. ,0,"[68, 905, 331, 926]",18,2.016408810175992e+18,
2016408810175991980,W1006361424,discarded,CrossMark ,0,"[848, 208, 947, 238]",19,2.016408810175992e+18,
2016408810175991981,W1006361424,discarded,Journal of Health Economics 43 (2015) 103–117 ,0,"[386, 45, 631, 54]",20,2.016408810175992e+18,
2016408810175991982,W1006361424,text,"While all four studies largely reach a consensus, they share a number of methodological and data issues in the identification of causal effects of the law that leave their conclusions open to question. Pooling cross-section and time-series data may cloud any potentially significant effect one might have observed if these effects were analyzed by a state-by-state pure time-series analysis. On the other hand, a pure time-series analysis of the law and kidney donations would be contaminated by structural shocks. ",1,"[52, 68, 475, 172]",21,2.016408810175992e+18,
2016408810175991983,W1006361424,text,"Additionally, compositional differences and non-parallel trends may pose threats to the validity of DiD estimation. That is, the distribution of the law and the covariates that are thought to affect kidney donation rates may not be similar for the pre- and postlegislation periods or the treatment (i.e. states that passed the legislation) and control states (i.e. no legislation) may not have experienced the same trends in the absence of the law conditional on covariates. As Boulware et al. (2008) show graphically, the trend lines for enacting and non-enacting states cross prior to the enactment period (though Boulware et al. (2008) do not note the econometric significance of that fact). Further, there are good reasons to suspect that tax incentives tend to be enacted near the peak of public attention to the organ donation crisis, implying the likelihood of regression to the mean in enacting but not necessarily non-enacting states. ",1,"[53, 174, 475, 370]",22,2.016408810175992e+18,
2016408810175991984,W1006361424,text,"The prior studies also face a set of other identification challenges. Each treats enactment of tax legislation as a binary variable, when in fact the real dollar value of the incentives states offer ranges from a few hundred to ten thousand dollars. In addition to failing to account for this variation, prior papers overlooked two states that enacted credits, not deductions. Next, 70 percent of all U.S. states have passed either a paid leave of absence and/or a tax deduction/credit legislation between the 1990s and 2010. For a state that enacted both forms of legislation, one may not be able to isolate the causal effect of one from the other. ",1,"[53, 372, 475, 501]",23,2.016408810175992e+18,
2016408810175991985,W1006361424,text,"Lastly, the enactment of tax incentive legislation may not be exogenous to kidney donations. In this case, one should resort to an instrumental variable procedure where another variable should be found such that it moves around the covariate of interest (i.e. the law) in a way that can plausibly be viewed as random. We argue that finding such an exogenous source of variation – a plausible instrument for the enactment and value of each state’s tax incentive – is very difficult. ",1,"[52, 503, 475, 607]",24,2.016408810175992e+18,
