block_id,work_id,block_type,block_text,pdf_page,pdf_bbox,block_seq,parent_title_block_id,title_level
2016412174062326103,W105024233,text,"This article was downloaded by: [27.130.216.169] On: 15 September 2016, At: 07:56 Publisher: Institute for Operations Research and the Management Sciences (INFORMS) INFORMS is located in Maryland, USA ",0,"[32, 23, 663, 69]",0,,
2016412174062326104,W105024233,text,Interfaces ,0,"[281, 93, 405, 114]",1,,
2016412174062326105,W105024233,text,"Publication details, including instructions for authors and subscription information: http://pubsonline.informs.org ",0,"[277, 135, 893, 166]",2,,
2016412174062326106,W105024233,text,"Call for Nominations: Editor in Chief, Operations Research ",0,"[277, 175, 967, 199]",3,,
2016412174062326107,W105024233,text,"To cite this article:   
(2005) Call for Nominations: Editor in Chief, Operations Research. Interfaces 35(1):120-120. http://dx.doi.org/10.1287/   
inte.1050.0130 ",0,"[32, 363, 921, 410]",4,,
2016412174062326108,W105024233,text,"This article may be used only for the purposes of research, teaching, and/or private study. Commercial use or systematic downloading (by robots or other automatic processes) is prohibited without explicit Publisher approval, unless otherwise noted. For more information, contact permissions@informs.org. ",0,"[31, 457, 936, 503]",5,,
2016412174062326109,W105024233,text,"The Publisher does not warrant or guarantee the article’s accuracy, completeness, merchantability, fitness for a particular purpose, or non-infringement. Descriptions of, or references to, products or publications, or inclusion of an advertisement in this article, neither constitutes nor implies a guarantee, endorsement, or support of claims made of that product, publication, or service. ",0,"[32, 513, 929, 574]",6,,
2016412174062326110,W105024233,text,$©$ 2005 INFORMS ,0,"[53, 583, 202, 599]",7,,
2016412174062326111,W105024233,text,Please scroll down for article—it is on subsequent pages ,0,"[32, 621, 464, 637]",8,,
2016412174062326112,W105024233,text,"INFORMS is the largest professional society in the world for professionals in the fields of operations research, management science, and analytics. For more information on INFORMS, its publications, membership, or meetings visit http://www.informs.org ",0,"[31, 760, 941, 806]",9,,
2016412174062326117,W105024233,text,Call for Nominations ,1,"[338, 164, 661, 190]",14,,
2016412174062326118,W105024233,text,"Editor in Chief, Operations Research Deadline for Nominations: April 15, 2005 ",1,"[346, 208, 651, 239]",15,,
