paper_id,claim,cause,effect,type_of_relationship,sign_of_impact,is_main_contribution,statistical_significance,causal_inference_method,sources_of_exogenous_variation,level_of_tentativeness,evidence_method_other_description,evidence
W117026973,Dually-weighted cross decomposition -> Finite convergence,Dually-weighted cross decomposition,Finite convergence,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"A modified version of this algorithm, called dually-weighted cross decomposition, is presented. [...] Finite convergence of this approach is proven and first promising results are discussed."
W117026973,Specially weighted average of previously constructed multipliers -> Lagrangean multipliers for dual subproblems,Specially weighted average of previously constructed multipliers,Lagrangean multipliers for dual subproblems,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"In contrast to the cross decomposition algorithm, this approach does not use the optimal dual solutions of the primal subproblems or the optimal solutions of the dual master problem as Lagrangean multipliers for the dual subproblems. A specially weighted average of the previously constructed multipliers is used instead."
W117026973,Convergence tests -> Prevention of cycling,Convergence tests,Prevention of cycling,direct effect,positive,False,NA,Theoretical/Non-Empirical,NA,certain,NA,"The cross decomposition algorithm solves the (CFLP) in a finite number of steps, since the convergence tests prevent the algorithm from cycling and therefore, after finitely many steps, the method amounts to Benders' decomposition, which is known to be finite (see e.g. [van Roy 1983] and [Holmberg 1990], respectively)."
W105026222,Variance weighting factor -> Emission control cost variance,Variance weighting factor,Emission control cost variance,direct effect,negative,True,NA,Simulation,NA,certain,NA,"To make the model more useful for decision makers we solve the model with different weighting factors for the variance. It enables us to control the value of variance at the solution found; in other words, uncertainty or risk."
W105026222,Quadratic matrix structure -> Computational complexity of direction solving,Quadratic matrix structure,Computational complexity of direction solving,direct effect,negative,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"For a linear case Q = 0 and other matrices in (8) are diagonal, and computing Θ is very simple. In many practical problems the matrix Q is either diagonal or we can reformulate the problem (1) to obtain a diagonal quadratic matrix, cf. Vanderbei and Carpenter (1993). Therefore computing Θ for separable QP is as easy as for a LP."
W105026222,Emission reductions -> Grid-specific SO2 deposition,Emission reductions,Grid-specific SO2 deposition,direct effect,positive,False,NA,Theoretical/Non-Empirical,NA,certain,NA,"x denotes emissions to be reduced, b is a vector of maximal grid depositions, and depositions y are linear function of emissions (y = Tx)."
W105026222,Interior point method -> Quadratic programming solution efficiency,Interior point method,Quadratic programming solution efficiency,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,It is now widely accepted that the primal-dual logarithmic barrier method is the most efficient IPM. [...] The derivation of the higher order primal-dual method for QP is analogous to the derivation for the linear case presented in Mehrotra (1991) and implemented by Altman and Gondzio (1992).
W10589759,LP-based lower bound generation -> Computation time,LP-based lower bound generation,Computation time,direct effect,negative,True,NA,Simulation,NA,certain,NA,To decrease the computation time we have developed a method for constructing new lower bounds with the help of LP (!). The results show that computation time is superior to comparable approaches though our model is able to describe a larger set of problems. [...] The efficiency of solving the 0/1 LP is extremely dependent on good bounds. In our approach we generate lower bounds via LP. In all applications so far we did not have problems with computing times. [...] The problem is solved as LP (!). Therefore computing times are no problem. [...] So we have generated lower bounds for every FU-type and therefore reduced the solution space drastically.
W10589759,Multifunctional function unit modeling -> Problem description scope,Multifunctional function unit modeling,Problem description scope,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,For the first time we have extended the model to different execution times and multifunctional function units. [...] The results show that computation time is superior to comparable approaches though our model is able to describe a larger set of problems. [...] We have extended the 0/1 formulation of Hwang (1991) and Lee (1989) combined with ideas from Gebotys (1991) to enlarge the set of scheduling problems that can be described in our model.
W10589759,Powerset constraint formulation -> Constraint correctness for multifunctional units,Powerset constraint formulation,Constraint correctness for multifunctional units,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"If there are multifunctional function units with empty intersection of operation types, then the model is also able to describe the problem. These type of function units are only a problem, if the intersection of the sets of executable operations of two function units is not empty and operation sets of the units are not equal. [...] It is easy to see that all the constraints are too strong. Instead, we have to construct the powerset Π of the not disjunctive operation types (of course the empty set can be omitted) and to introduce new constraints. [...] A proof that constraint (2) is necessary and sufficient can be found in Achatz (1993a)."
W10589759,Different execution time variable introduction -> Scheduling model flexibility,Different execution time variable introduction,Scheduling model flexibility,direct effect,positive,True,NA,Theoretical/Non-Empirical,NA,certain,NA,"If there are function units with different execution times for one operation type, many problems appear. Most of the scheduling algorithms (even the heuristically ones) have the restriction that every operation type has one unique execution time. Suppose t1, t2, ..., tp are functional units with different execution times for the operation oi. We introduce new 0/1 variables si1j, si2j, ..., sipj instead of xij. If s_ik_j equals 1, then operation oi is executed on unit tk in control step j."
W10589759,Variance weighting factor -> Risk control in emission reduction,Variance weighting factor,Risk control in emission reduction,direct effect,positive,False,NA,Simulation,NA,certain,NA,"To make the model more useful for decision makers we solve the model with different weighting factors for the variance. It enables us to control the value of variance at the solution found; in other words, uncertainty or risk. [...] In such a method we minimize a weighted sum of expected value of total costs and their variance."
W10589759,Quadratic matrix separability -> Computational ease for QP,Quadratic matrix separability,Computational ease for QP,direct effect,positive,False,NA,Theoretical/Non-Empirical,NA,certain,NA,"In many practical problems the matrix Q is either diagonal or we can reformulate the problem (1) to obtain a diagonal quadratic matrix, cf. Vanderbei and Carpenter (1993). Therefore computing Θ for separable QP is as easy as for a LP. [...] The costs for each country are piecewise linear convex functions. Since variance is a quadratic function, the objective function is quadratic too. The problem is reformulated in such a way that the quadratic part of the objective is separable."
W111289653,LP-based lower bound generation -> Computation time,LP-based lower bound generation,Computation time,direct effect,negative,True,NA,Simulation,NA,certain,NA,To decrease the computation time we have developed a method for constructing new lower bounds with the help of LP (!). The results show that computation time is superior to comparable approaches though our model is able to describe a larger set of problems. [...] The efficiency of solving the 0/1 LP is extremely dependent on good bounds. In our approach we generate lower bounds via LP. In all applications so far we did not have problems with computing times. [...] The problem is solved as LP (!). Therefore computing times are no problem. [...] So we have generated lower bounds for every FU-type and therefore reduced the solution space drastically.
